Player Number,Player  ,GM  ,KI  ,MK  ,HB  ,DI  ,DA  ,GL  ,BH  ,HO  ,TK  ,RB  ,IF  ,CL  ,CG  ,FF  ,FA  ,BR  ,CP  ,UP  ,CM  ,MI  ,1%  ,BO  ,GA  ,%P  ,SU  ,Team Name
29,Laird  Rory,22,262,67,375,637,28.95,3,10,,175,34,84,140,82,40,34,20,304,342,1,3,22,5,11,79.2,0/1,Adelaide
12,Dawson  Jordan,23,401,114,222,623,27.09,6,15,,153,52,130,88,87,38,27,20,216,386,13,7,39,13,20,86,,Adelaide
33,Smith  Brodie,22,334,109,132,466,21.18,4,4,,50,107,76,26,61,9,13,1,119,292,7,4,34,1,5,85.7,,Adelaide
2,Keays  Ben,23,218,72,223,441,19.17,22,19,,87,18,78,59,65,14,17,2,180,241,,14,25,,16,84,,Adelaide
30,Milera  Wayne,22,247,96,186,433,19.68,3,,,43,83,42,15,51,13,11,,121,280,11,,37,3,5,81.4,,Adelaide
20,Hinge  Mitch,22,313,104,119,432,19.64,1,4,,46,106,48,12,57,22,13,,141,259,9,1,60,1,4,82.3,0/1,Adelaide
9,Sloane  Rory,22,212,69,187,399,18.14,6,2,1,113,23,63,83,64,19,29,2,183,214,7,5,37,1,8,65.2,2-Jan,Adelaide
14,Soligo  Jake,21,209,74,138,347,16.52,10,11,,65,36,45,54,57,11,16,1,148,214,3,14,23,6,9,76.7,0/3,Adelaide
4,Murphy  Lachlan,22,190,67,139,329,14.95,12,8,,67,10,80,49,54,25,16,,142,192,3,9,25,10,13,78.2,,Adelaide
8,Rachele  Josh,21,204,81,117,321,15.29,23,25,,70,14,56,30,62,22,15,,111,212,4,22,18,10,14,76.4,1/0,Adelaide
22,Rankine  Izak,20,197,74,121,318,15.9,36,27,,64,4,64,38,70,14,28,7,156,160,8,33,18,15,15,90.4,,Adelaide
1,Jones  Chayce,18,216,46,98,314,17.44,7,5,,49,54,45,40,38,13,9,,111,176,2,4,29,2,9,81.8,1-Jan,Adelaide
43,OBrien  Reilly,23,117,66,169,286,12.43,4,4,888,72,18,29,66,69,21,26,3,174,91,32,6,84,,9,81.3,0/1,Adelaide
13,Walker  Taylor,22,226,124,60,286,13,76,34,55,29,,53,21,68,18,27,16,138,150,41,63,27,1,16,82.9,,Adelaide
38,Sholl  Lachlan,16,175,78,100,275,17.19,4,5,,31,32,32,22,32,5,11,,79,202,1,5,3,3,6,80.6,1/0,Adelaide
10,Pedlar  Luke,21,173,72,76,249,11.86,25,15,,55,4,52,29,66,26,25,,115,146,3,22,19,2,13,74.5,1/0,Adelaide
32,Fogarty  Darcy,21,157,102,80,237,11.29,34,23,1,41,1,41,8,50,11,24,3,102,139,24,42,24,2,16,84.7,,Adelaide
16,Michalanney  Max,22,159,80,78,237,10.77,,,,75,49,22,6,39,15,12,,74,156,8,1,63,,2,82.9,,Adelaide
7,Thilthorpe  Riley,21,126,74,97,223,10.62,18,9,116,31,7,38,25,53,16,19,2,134,88,38,19,41,,9,65.8,2/0,Adelaide
5,Crouch  Matt,7,55,18,132,187,26.71,2,,,35,4,22,45,20,11,7,,77,106,,1,7,1,1,68,1/0,Adelaide
