Player Number,Player  ,Team Name,GM  ,KI  ,MK  ,HB  ,DI  ,DA  ,GL  ,,,,,,,,,,,,,,,,,,,
29,Laird  Rory,Adelaide,22,262,67,375,637,28.95,3,,,,,,,,,,,,,,,,,,,
12,Dawson  Jordan,Adelaide,23,401,114,222,623,27.09,6,,,,,,,,,,,,,,,,,,,
33,Smith  Brodie,Adelaide,22,334,109,132,466,21.18,4,,,,,,,,,,,,,,,,,,,
2,Keays  Ben,Adelaide,23,218,72,223,441,19.17,22,,,,,,,,,,,,,,,,,,,
30,Milera  Wayne,Adelaide,22,247,96,186,433,19.68,3,,,,,,,,,,,,,,,,,,,
20,Hinge  Mitch,Adelaide,22,313,104,119,432,19.64,1,,,,,,,,,,,,,,,,,,,
9,Sloane  Rory,Adelaide,22,212,69,187,399,18.14,6,,,,,,,,,,,,,,,,,,,
14,Soligo  Jake,Adelaide,21,209,74,138,347,16.52,10,,,,,,,,,,,,,,,,,,,
4,Murphy  Lachlan,Adelaide,22,190,67,139,329,14.95,12,,,,,,,,,,,,,,,,,,,
8,Rachele  Josh,Adelaide,21,204,81,117,321,15.29,23,,,,,,,,,,,,,,,,,,,
22,Rankine  Izak,Adelaide,20,197,74,121,318,15.9,36,,,,,,,,,,,,,,,,,,,
1,Jones  Chayce,Adelaide,18,216,46,98,314,17.44,7,,,,,,,,,,,,,,,,,,,
43,OBrien  Reilly,Adelaide,23,117,66,169,286,12.43,4,,,,,,,,,,,,,,,,,,,
13,Walker  Taylor,Adelaide,22,226,124,60,286,13,76,,,,,,,,,,,,,,,,,,,
38,Sholl  Lachlan,Adelaide,16,175,78,100,275,17.19,4,,,,,,,,,,,,,,,,,,,
10,Pedlar  Luke,Adelaide,21,173,72,76,249,11.86,25,,,,,,,,,,,,,,,,,,,
32,Fogarty  Darcy,Adelaide,21,157,102,80,237,11.29,34,,,,,,,,,,,,,,,,,,,
16,Michalanney  Max,Adelaide,22,159,80,78,237,10.77,,,,,,,,,,,,,,,,,,,,
7,Thilthorpe  Riley,Adelaide,21,126,74,97,223,10.62,18,,,,,,,,,,,,,,,,,,,
5,Crouch  Matt,Adelaide,7,55,18,132,187,26.71,2,,,,,,,,,,,,,,,,,,,
24,Worrell  Josh,Adelaide,12,127,47,48,175,14.58,,,,,,,,,,,,,,,,,,,,
28,Murray  Nick,Adelaide,17,114,67,52,166,9.76,,,,,,,,,,,,,,,,,,,,
39,Doedee  Tom,Adelaide,11,92,49,73,165,15,,,,,,,,,,,,,,,,,,,,
26,Schoenberg  Harry,Adelaide,11,76,29,73,149,13.55,2,,,,,,,,,,,,,,,,,,,
41,Butts  Jordon,Adelaide,17,85,56,58,143,8.41,,,,,,,,,,,,,,,,,,,,
25,McHenry  Ned,Adelaide,11,75,39,56,131,11.91,4,,,,,,,,,,,,,,,,,,,
23,McAdam  Shane,Adelaide,7,38,30,30,68,9.71,12,,,,,,,,,,,,,,,,,,,
48,Keane  Mark,Adelaide,5,46,29,21,67,13.4,,,,,,,,,,,,,,,,,,,,
27,Nankervis  Luke,Adelaide,4,36,18,18,54,13.5,,,,,,,,,,,,,,,,,,,,
37,Parnell  Patrick,Adelaide,5,37,17,16,53,10.6,,,,,,,,,,,,,,,,,,,,
3,Berry  Sam,Adelaide,4,27,6,13,40,10,,,,,,,,,,,,,,,,,,,,
44,Gollant  Lachlan,Adelaide,4,28,16,10,38,9.5,4,,,,,,,,,,,,,,,,,,,
35,Borlase  James,Adelaide,4,20,15,12,32,8,,,,,,,,,,,,,,,,,,,,
34,Himmelberg  Elliott,Adelaide,3,18,11,8,26,8.67,1,,,,,,,,,,,,,,,,,,,
15,Cook  Brayden,Adelaide,1,10,5,6,16,16,,,,,,,,,,,,,,,,,,,,
6,Hately  Jackson,Adelaide,1,,1,4,4,4,,,,,,,,,,,,,,,,,,,,
21,Brown  Tyler,Adelaide,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,
9,Neale  Lachie,Brisbane Lions,26,311,109,383,694,26.69,3,,,,,,,,,,,,,,,,,,,
5,Dunkley  Josh,Brisbane Lions,24,261,120,321,582,24.25,2,,,,,,,,,,,,,,,,,,,
6,McCluggage  Hugh,Brisbane Lions,25,327,117,231,558,22.32,13,,,,,,,,,,,,,,,,,,,
7,Berry  Jarrod,Brisbane Lions,25,268,119,172,440,17.6,10,,,,,,,,,,,,,,,,,,,
26,McKenna  Conor,Brisbane Lions,26,358,95,81,439,16.88,7,,,,,,,,,,,,,,,,,,,
44,Wilmot  Darcy,Brisbane Lions,26,297,107,109,406,15.62,5,,,,,,,,,,,,,,,,,,,
33,Bailey  Zac,Brisbane Lions,24,254,76,148,402,16.75,29,,,,,,,,,,,,,,,,,,,
8,Ashcroft  Will,Brisbane Lions,18,200,61,198,398,22.11,8,,,,,,,,,,,,,,,,,,,
18,Coleman  Keidean,Brisbane Lions,23,306,120,86,392,17.04,2,,,,,,,,,,,,,,,,,,,
3,Daniher  Joe,Brisbane Lions,26,316,154,72,388,14.92,61,,,,,,,,,,,,,,,,,,,
15,Zorko  Dayne,Brisbane Lions,20,272,118,106,378,18.9,8,,,,,,,,,,,,,,,,,,,
31,Andrews  Harris,Brisbane Lions,26,281,203,88,369,14.19,1,,,,,,,,,,,,,,,,,,,
16,Rayner  Cam,Brisbane Lions,26,215,102,153,368,14.15,23,,,,,,,,,,,,,,,,,,,
46,McInerney  Oscar,Brisbane Lions,25,173,44,137,310,12.4,9,,,,,,,,,,,,,,,,,,,
37,Starcevich  Brandon,Brisbane Lions,26,233,116,72,305,11.73,1,,,,,,,,,,,,,,,,,,,
11,McCarthy  Lincoln,Brisbane Lions,24,188,62,93,281,11.71,28,,,,,,,,,,,,,,,,,,,
35,Lester  Ryan,Brisbane Lions,19,197,119,71,268,14.11,1,,,,,,,,,,,,,,,,,,,
23,Cameron  Charlie,Brisbane Lions,26,196,88,61,257,9.88,59,,,,,,,,,,,,,,,,,,,
30,Hipwood  Eric,Brisbane Lions,26,200,140,57,257,9.88,41,,,,,,,,,,,,,,,,,,,
40,Payne  Jack,Brisbane Lions,23,177,124,48,225,9.78,,,,,,,,,,,,,,,,,,,,
19,Gunston  Jack,Brisbane Lions,17,134,88,36,170,10,22,,,,,,,,,,,,,,,,,,,
28,Fletcher  Jaspa,Brisbane Lions,14,102,65,63,165,11.79,8,,,,,,,,,,,,,,,,,,,
2,Robertson  Deven,Brisbane Lions,16,71,34,73,144,9,3,,,,,,,,,,,,,,,,,,,
10,Rich  Daniel,Brisbane Lions,7,113,38,24,137,19.57,2,,,,,,,,,,,,,,,,,,,
4,Ah Chee  Callum,Brisbane Lions,12,81,42,45,126,10.5,6,,,,,,,,,,,,,,,,,,,
17,Lyons  Jarryd,Brisbane Lions,10,47,12,46,93,9.3,2,,,,,,,,,,,,,,,,,,,
32,Fort  Darcy,Brisbane Lions,7,37,12,22,59,8.43,1,,,,,,,,,,,,,,,,,,,
41,Joyce  Darragh,Brisbane Lions,5,37,25,6,43,8.6,,,,,,,,,,,,,,,,,,,,
20,Prior  Jaxon,Brisbane Lions,5,36,14,7,43,8.6,1,,,,,,,,,,,,,,,,,,,
1,Lohmann  Kai,Brisbane Lions,6,24,11,18,42,7,1,,,,,,,,,,,,,,,,,,,
22,Sharp  Harry,Brisbane Lions,3,34,13,6,40,13.33,2,,,,,,,,,,,,,,,,,,,
27,Gardiner  Darcy,Brisbane Lions,4,22,12,12,34,8.5,,,,,,,,,,,,,,,,,,,,
43,Answerth  Noah,Brisbane Lions,4,18,10,14,32,8,,,,,,,,,,,,,,,,,,,,
29,Tunstill  James,Brisbane Lions,2,5,2,7,12,6,,,,,,,,,,,,,,,,,,,,
14,Madden  James,Brisbane Lions,2,5,,2,7,3.5,,,,,,,,,,,,,,,,,,,,
9,Cripps  Patrick,Carlton,24,226,51,370,596,24.83,9,,,,,,,,,,,,,,,,,,,
15,Docherty  Sam,Carlton,23,359,138,227,586,25.48,8,,,,,,,,,,,,,,,,,,,
13,Acres  Blake,Carlton,25,319,137,257,576,23.04,10,,,,,,,,,,,,,,,,,,,
24,Newman  Nic,Carlton,24,376,183,185,561,23.38,3,,,,,,,,,,,,,,,,,,,
5,Cerra  Adam,Carlton,22,275,74,285,560,25.45,9,,,,,,,,,,,,,,,,,,,
18,Walsh  Sam,Carlton,18,222,63,292,514,28.56,6,,,,,,,,,,,,,,,,,,,
42,Saad  Adam,Carlton,25,341,111,161,502,20.08,,,,,,,,,,,,,,,,,,,,
29,Hewett  George,Carlton,22,182,49,263,445,20.23,3,,,,,,,,,,,,,,,,,,,
23,Weitering  Jacob,Carlton,26,317,208,85,402,15.46,,,,,,,,,,,,,,,,,,,,
11,McGovern  Mitch,Carlton,22,297,105,82,379,17.23,2,,,,,,,,,,,,,,,,,,,
30,Curnow  Charlie,Carlton,26,280,180,76,356,13.69,81,,,,,,,,,,,,,,,,,,,
7,Kennedy  Matthew,Carlton,16,157,58,134,291,18.19,5,,,,,,,,,,,,,,,,,,,
17,Kemp  Brodie,Carlton,17,182,113,87,269,15.82,1,,,,,,,,,,,,,,,,,,,
14,Hollands  Oliver,Carlton,19,163,58,103,266,14,2,,,,,,,,,,,,,,,,,,,
25,Fisher  Zac,Carlton,12,135,40,115,250,20.83,4,,,,,,,,,,,,,,,,,,,
10,McKay  Harry,Carlton,21,190,141,57,247,11.76,29,,,,,,,,,,,,,,,,,,,
46,Cottrell  Matthew,Carlton,17,160,72,78,238,14,11,,,,,,,,,,,,,,,,,,,
39,Cincotta  Alex,Carlton,19,113,53,121,234,12.32,3,,,,,,,,,,,,,,,,,,,
12,De Koning  Tom,Carlton,19,114,54,114,228,12,9,,,,,,,,,,,,,,,,,,,
35,Curnow  Ed,Carlton,17,141,46,84,225,13.24,3,,,,,,,,,,,,,,,,,,,
1,Silvagni  Jack,Carlton,16,129,64,88,217,13.56,14,,,,,,,,,,,,,,,,,,,
3,Motlop  Jesse,Carlton,21,123,38,86,209,9.95,24,,,,,,,,,,,,,,,,,,,
33,Young  Lewis,Carlton,15,114,77,86,200,13.33,,,,,,,,,,,,,,,,,,,,
27,Pittonet  Marc,Carlton,18,89,24,82,171,9.5,,,,,,,,,,,,,,,,,,,,
28,Cuningham  David,Carlton,12,64,26,102,166,13.83,6,,,,,,,,,,,,,,,,,,,
44,Owies  Matthew,Carlton,18,107,48,54,161,8.94,27,,,,,,,,,,,,,,,,,,,
2,Dow  Paddy,Carlton,10,96,15,63,159,15.9,2,,,,,,,,,,,,,,,,,,,
8,Fogarty  Lachie,Carlton,12,77,28,72,149,12.42,4,,,,,,,,,,,,,,,,,,,
21,Martin  Jack,Carlton,13,75,46,67,142,10.92,17,,,,,,,,,,,,,,,,,,,
37,Boyd  Jordan,Carlton,9,83,26,29,112,12.44,,,,,,,,,,,,,,,,,,,,
22,Marchbank  Caleb,Carlton,8,77,46,34,111,13.88,,,,,,,,,,,,,,,,,,,,
19,Durdin  Corey,Carlton,11,66,16,31,97,8.82,11,,,,,,,,,,,,,,,,,,,
26,Cowan  Lachlan,Carlton,7,49,20,20,69,9.86,,,,,,,,,,,,,,,,,,,,
36,Honey  Josh,Carlton,6,27,14,17,44,7.33,3,,,,,,,,,,,,,,,,,,,
4,OBrien  Lochie,Carlton,6,30,17,13,43,7.17,,,,,,,,,,,,,,,,,,,,
20,Plowman  Lachie,Carlton,1,9,5,3,12,12,,,,,,,,,,,,,,,,,,,,
16,Carroll  Jack,Carlton,1,1,,3,4,4,,,,,,,,,,,,,,,,,,,,
35,Daicos  Nick,Collingwood,22,357,71,325,682,31,19,,,,,,,,,,,,,,,,,,,
7,Daicos  Josh,Collingwood,26,362,120,288,650,25,16,,,,,,,,,,,,,,,,,,,
6,Mitchell  Tom,Collingwood,26,250,79,400,650,25,7,,,,,,,,,,,,,,,,,,,
10,Pendlebury  Scott,Collingwood,25,305,89,266,571,22.84,9,,,,,,,,,,,,,,,,,,,
25,Crisp  Jack,Collingwood,26,294,98,261,555,21.35,10,,,,,,,,,,,,,,,,,,,
2,de Goey  Jordan,Collingwood,21,257,77,245,502,23.9,18,,,,,,,,,,,,,,,,,,,
9,Noble  John,Collingwood,23,322,123,148,470,20.43,3,,,,,,,,,,,,,,,,,,,
4,Maynard  Brayden,Collingwood,25,318,125,136,454,18.16,,,,,,,,,,,,,,,,,,,,
13,Adams  Taylor,Collingwood,23,222,78,202,424,18.43,13,,,,,,,,,,,,,,,,,,,
3,Quaynor  Isaac,Collingwood,26,250,143,171,421,16.19,,,,,,,,,,,,,,,,,,,,
22,Sidebottom  Steele,Collingwood,20,257,85,160,417,20.85,4,,,,,,,,,,,,,,,,,,,
30,Moore  Darcy,Collingwood,24,253,137,121,374,15.58,,,,,,,,,,,,,,,,,,,,
32,Hoskin-Elliott  Will,Collingwood,23,199,92,87,286,12.43,10,,,,,,,,,,,,,,,,,,,
37,Markov  Oleg,Collingwood,23,151,83,128,279,12.13,1,,,,,,,,,,,,,,,,,,,
5,Elliott  Jamie,Collingwood,24,170,110,101,271,11.29,39,,,,,,,,,,,,,,,,,,,
31,McCreery  Beau,Collingwood,25,170,67,84,254,10.16,17,,,,,,,,,,,,,,,,,,,
14,Cameron  Darcy,Collingwood,19,139,65,110,249,13.11,5,,,,,,,,,,,,,,,,,,,
1,Lipinski  Patrick,Collingwood,14,114,40,135,249,17.79,5,,,,,,,,,,,,,,,,,,,
41,Mihocek  Brody,Collingwood,24,189,114,60,249,10.38,47,,,,,,,,,,,,,,,,,,,
23,Hill  Bobby,Collingwood,24,172,78,75,247,10.29,33,,,,,,,,,,,,,,,,,,,
