Rank,Player,Team,Current Salary,2023 R24 Salary,2023 R24 Salary,Supercoach Value
1,Nick Larkey,Kangaroos,"$408,800","$408,800",173,42.3
2,Taylor Walker,Crows,"$499,200","$499,200",167,33.5
3,Zak Butters,Power,"$656,300","$656,300",158,24.1
4,Rowan Marshall,Saints,"$657,000","$657,000",154,23.4
5,Marcus Bontempelli,Bulldogs,"$691,300","$691,300",146,21.1
5,Tim Kelly,Eagles,"$553,200","$553,200",146,26.4
7,Tom Green,Giants,"$606,400","$606,400",145,23.9
8,Callum Mills,Swans,"$426,300","$426,300",143,33.5
9,Caleb Serong,Dockers,"$564,700","$564,700",140,24.8
10,Dustin Martin,Tigers,"$564,700","$564,700",139,24.6
11,Errol Gulden,Swans,"$591,700","$591,700",138,23.3
11,Rory Laird,Crows,"$622,500","$622,500",138,22.2
13,Lachie Neale,Lions,"$528,400","$528,400",137,25.9
14,Andrew Brayshaw,Dockers,"$603,200","$603,200",136,22.5
15,Jack Viney,Demons,"$536,300","$536,300",135,25.2
16,Zachary Merrett,Bombers,"$606,800","$606,800",133,21.9
17,Matt Rowell,Suns,"$517,800","$517,800",131,25.3
18,James Sicily,Hawks,"$611,100","$611,100",130,21.3
19,Harrison Himmelberg,Giants,"$501,500","$501,500",129,25.7
20,Thomas Stewart,Cats,"$589,200","$589,200",124,21
20,Callum Wilkie,Saints,"$519,100","$519,100",124,23.9
20,Thomas Liberatore,Bulldogs,"$599,200","$599,200",124,20.7
23,Christian Petracca,Demons,"$616,000","$616,000",122,19.8
23,Isaac Smith,Cats,"$403,200","$403,200",122,30.3
25,Sam Flanders,Suns,"$513,400","$513,400",121,23.6
25,Jack Ginnivan,Magpies,"$268,400","$268,400",121,45.1
25,Oscar McInerney,Lions,"$482,100","$482,100",121,25.1
25,Brandan Parfitt,Cats,"$300,900","$300,900",121,40.2
29,Liam Duggan,Eagles,"$491,300","$491,300",117,23.8
29,Kane Farrell,Power,"$396,200","$396,200",117,29.5
31,Jayden Laverde,Bombers,"$383,600","$383,600",116,30.2
31,Rory Lobb,Bulldogs,"$440,600","$440,600",116,26.3
31,Jack Sinclair,Saints,"$589,600","$589,600",116,19.7
31,Jayden Short,Tigers,"$503,900","$503,900",116,23
31,Cody Weightman,Bulldogs,"$277,000","$277,000",116,41.9
36,Tom Mitchell,Magpies,"$428,400","$428,400",115,26.8
36,Stephen Coniglio,Giants,"$538,800","$538,800",115,21.3
38,Joe Daniher,Lions,"$389,200","$389,200",114,29.3
38,Harry Sheezel,Kangaroos,"$561,500","$561,500",114,20.3
38,Jarrod Berry,Lions,"$424,400","$424,400",114,26.9
38,Connor Rozee,Power,"$559,000","$559,000",114,20.4
42,Noah Anderson,Suns,"$516,700","$516,700",113,21.9
43,Brent Daniels,Giants,"$381,100","$381,100",112,29.4
44,Hayden Young,Dockers,"$530,400","$530,400",111,20.9
44,Jack Darling,Eagles,"$357,400","$357,400",111,31.1
44,Jordan Dawson,Crows,"$582,300","$582,300",111,19.1
47,Dan Houston,Power,"$548,000","$548,000",109,19.9
47,Oscar Allen,Eagles,"$359,500","$359,500",109,30.3
47,Clayton Oliver,Demons,"$612,100","$612,100",109,17.8
50,Jacob Weitering,Blues,"$463,500","$463,500",108,23.3
50,Bayley Fritsch,Demons,"$333,800","$333,800",108,32.4
50,Willem Drew,Power,"$448,100","$448,100",108,24.1
53,Darcy Parish,Bombers,"$569,200","$569,200",107,18.8
53,Adam Treloar,Bulldogs,"$558,100","$558,100",107,19.2
53,Brandon Ellis,Suns,"$440,200","$440,200",107,24.3
53,Brady Hough,Eagles,"$357,900","$357,900",107,29.9
53,Chad Warner,Swans,"$525,900","$525,900",107,20.3
53,Tarryn Thomas,Kangaroos,"$464,500","$464,500",107,23
59,Josh Dunkley,Lions,"$520,300","$520,300",106,20.4
60,Nathan Broad,Tigers,"$382,900","$382,900",105,27.4
60,Brayden Maynard,Magpies,"$449,300","$449,300",105,23.4
60,Scott Pendlebury,Magpies,"$498,500","$498,500",105,21.1
63,Tom McCartin,Swans,"$398,900","$398,900",104,26.1
63,Joshua Kelly,Giants,"$469,900","$469,900",104,22.1
65,Jordan Clark,Dockers,"$468,500","$468,500",103,22
65,Timothy English,Bulldogs,"$683,000","$683,000",103,15.1
67,Dylan Moore,Hawks,"$522,400","$522,400",102,19.5
67,Ed Richards,Bulldogs,"$471,100","$471,100",102,21.7
67,Alex Neal-Bullen,Demons,"$403,600","$403,600",102,25.3
70,Dayne Zorko,Lions,"$448,100","$448,100",101,22.5
70,Nic Newman,Blues,"$605,300","$605,300",101,16.7
70,Jake Soligo,Crows,"$391,300","$391,300",101,25.8
70,Luke Jackson,Dockers,"$596,300","$596,300",101,16.9
74,Ryan Burton,Power,"$429,500","$429,500",100,23.3
75,Brody Mihocek,Magpies,"$326,400","$326,400",99,30.3
75,Kieren Briggs,Giants,"$573,800","$573,800",99,17.3
75,Mason Redman,Bombers,"$453,400","$453,400",99,21.8
78,Matt Crouch,Crows,"$546,100","$546,100",98,17.9
